Id,Label,followersCount,description
Maxime Combes,Maxime Combes,,
RTL France,RTL France,,
Renault France,Renault France,,
Societe Generale Group,Societe Generale Group,,
Decathlon,Decathlon,,
Députée Obono,Députée Obono,92162.0,"Danièle Obono, afroféministe, écosocialiste, députée de Paris #circo7517 @FranceInsoumise - Nouvelle Union Populaire #NUPES."
Bon Pote,Bon Pote,52891.0,"Media qui alerte sur un truc pas cool : le changement climatique.
Tout comprendre (ou presque) sur le climat, @CNRSEd 2022
bonpote.com"
BNP Paribas Group #Vivatech,BNP Paribas Group #Vivatech,,
Bruno Le Maire,Bruno Le Maire,,
Reclaim Finance,Reclaim Finance,,
Crédit Mutuel,Crédit Mutuel,,
Mediapart,Mediapart,,
Pauline Rapilly Ferniot,Pauline Rapilly Ferniot,,
N. Dupont-Aignan,N. Dupont-Aignan,,
Lucie Pinson,Lucie Pinson,,
Hugo Viel,Hugo Viel,2930.0,Drouais - Activiste climat - hugo.viel.langree@hotmail.fr | Diplômé de @ingenieursECE et @Sorbonne_Univ_ en Énergie & Environnement
Stacy Algrain,Stacy Algrain,4382.0,"50% journaliste, 50% activiste, 100% punchlineuse Fondatrice de @Penserlapres | La Corneille (newsletter biodiv) 🪶"
Notre Affaire à Tous,Notre Affaire à Tous,19681.0,#NAAT est une association qui défend la #JusticeClimatique Notre objectif : nous unir pour défendre l’intérêt général face à ceux qui détruisent notre planète.
Audrey Garric,Audrey Garric,,
Le Bolchejuif,Le Bolchejuif,,
Teïssir,Teïssir,5056.0,chargée de campagne @_lemouvement ⎜militante @alternatiba75 ✌️
Celia Gautier,Celia Gautier,7659.0,Analyste des politiques climat-énergie de la France   I   Nantaise   I   Chaque dixième de degré C° compte  I  Avec les copains on a lancé l'Affaire du Siècle
Maxence Cordiez,Maxence Cordiez,,
Amundi,Amundi,,
Mac Lesggy 3 x 💉,Mac Lesggy 3 x 💉,57618.0,"Ingénieur agronome AgroParisTech/animateur-producteur e=m6/#em6/science pour tous sur @RTLFrance/ambassadeur #OralB/écologie oui, écologisme non/stop au CO2"
Julie Garnier 🐝🐢✌️,Julie Garnier 🐝🐢✌️,33004.0,"🏛Conseillère régionale IDF                                      
🗣Oratrice nationale de la @FranceInsoumise.    
🫂@lesinsoumisdu77"
No Pasaran (copyright @sidpics),No Pasaran (copyright @sidpics),,
Nicolas Raffin,Nicolas Raffin,,
Edina Ifticene,Edina Ifticene,,
Juggtft,Juggtft,,
Soumaya Benaissa,Soumaya Benaissa,1591.0,"Rédactrice en chef, responsable du site et du pôle Idées de Blast (ex-France 24, Public Sénat)"
J-F Julliard,J-F Julliard,12773.0,"Directeur général @greenpeacefr et activiste pour le climat / Auteur de différents ouvrages
#velotaf #Pantin"
Bastien 🌻🇪🇺🇺🇦,Bastien 🌻🇪🇺🇺🇦,471.0,"🌻@EELVParis12 🌻
Science Politique @SorbonneParis1"
Володимир Зеленський,Володимир Зеленський,,
350.org - France,350.org - France,,
TotalEnergies Marketing Cameroun,TotalEnergies Marketing Cameroun,1455.0,"Compagnie multi-énergies mondiale de production & de fourniture d’énergies : pétrole & biocarburants, gaz naturel & gaz verts, renouvelables & électricité."
Groupe Crédit Agricole,Groupe Crédit Agricole,,
Azur_S,Azur_S,838.0,Retour après suppression de mon ancien compte : Le viol-un crime ?#Correctionnalisation du viol et ou délit d’atteinte sexuelle. Deux caches-viols
TotalEnergies Press,TotalEnergies Press,,
Lactalis,Lactalis,,
Delphine Batho,Delphine Batho,,
Gouvernement,Gouvernement,,
Greenpeace Paris,Greenpeace Paris,5254.0,"Groupes locaux de Paris. «Penser globalement, agir localement».   Notre rôle est de relayer localement les campagnes globales de Greenpeace."
Matthieu Auzanneau,Matthieu Auzanneau,14759.0,"Executive director @theShiftPR0JECT économie⊊écologie 
""Oil, Power, & War"" @Nature: ""Prodigious""
""Oil Man"" blog @LeMondefr 
CO2=POPxGDP/POPxE/GDPxCO2/E"
Camille Crosnier,Camille Crosnier,46012.0,"Journaliste @franceinter 
La Terre au Carré du lundi au vendredi 14h-15h @latacfi
14h30 Camille passe au vert franceinter.fr/emissions/cami…"
France Inter,France Inter,,
Shaamit,Shaamit,452.0,"« Si petite que soit la braise, c'est elle qui remet le feu à la plaine. »"
Crédit Agricole,Crédit Agricole,,
Martin Bertran,Martin Bertran,1166.0,Head of Advertising @TotalEnergies. Mes tweets sont de moi et n'engagent que moi 😘
Clara Gonzales,Clara Gonzales,4298.0,Legal counsel @Greenpeacefr ~ ex @asso_sherpa @fondationfemmes
vert,vert,9046.0,"Toute l'actualité de l'écologie en sept minutes de lecture, chaque jour dans votre boîte mail. Abonnez-vous gratuitement 👇"
Vanessa Nakate,Vanessa Nakate,,
Nakabuye Hilda F.,Nakabuye Hilda F.,,
Emma Tosini,Emma Tosini,1003.0,Activiste climat. Féministe. Porte-parole @alternatiba_ @anvcop21. Passée par @laffairedusiecl. Pour une écologie populaire qui ne laisse personne de côté 🌞
StopEACOP,StopEACOP,,
Pour un réveil écologique,Pour un réveil écologique,18559.0,"Collectif d’étudiants et jeunes diplômés mobilisés face aux crises écologiques. Compte anti-greenwashing ⚠️

 👉 Tous nos threads sur @threadPRE"
Defend Intelligence,Defend Intelligence,26925.0,"🇫🇷 Lead AI Engineer | Applied Research | AI | Threat Intelligence | Data | Algorithms | Vulgarisateur IA , YouTube / Twitch . hi@defendintelligence.com"
La Banque Postale,La Banque Postale,,
AXA France,AXA France,,
Clément Sénéchal,Clément Sénéchal,,
Basile Mesré-Barjon,Basile Mesré-Barjon,,
PumP_uP_The_VolumE,PumP_uP_The_VolumE,,
Frederic Amiel,Frederic Amiel,1233.0,"Pourvoyeur de surtravail. Auteur, éditeur (éditions hic et nunc). ""Pour un parti de la fête"", en précommande ici : lnkd.in/g3ECY7FM"
Corinne Reverbel 🐭,Corinne Reverbel 🐭,55743.0,"Consultante Webmarketing, Docteur Biochimie & Microbio - AUCUN LIEN NI CONFLIT D’INTÉRÊTS avec l’IHU #SoutienAFranceSoir #NoCorrupMed"
Alexandre Poidatz,Alexandre Poidatz,1465.0,#Ecologie #Economie #Energie | Plaide @OxfamFrance pour mettre la #Finance au service du #climat et de la justice sociale | My tweets (try to be optimistic)
Ires Prφbere🔻🕊,Ires Prφbere🔻🕊,,
Mathilde Panot,Mathilde Panot,124550.0,Députée du Val-de-Marne • 94 ✌️🏻• Présidente du groupe LFI à l’Assemblée nationale • @mairieivry • @mairievitry • @villeKB • Gentilly • t.me/mathildepanot
BNP Paribas Group,BNP Paribas Group,,
Gabriel Mazzolini,Gabriel Mazzolini,,
L'avis de Mamère le podcast,L'avis de Mamère le podcast,1612.0,#lavisdemamere présenté par Noël Mamère. Le podcast qui met sur le divan celles et ceux qui œuvrent pour une société joyeuse et durable.
Barbara Pompili,Barbara Pompili,,
France Rugby,France Rugby,,
Djoe_ 🐢,Djoe_ 🐢,67.0,"Game Developper.
#Unity #Unreal #VR"
mister renard,mister renard,,
Les Voix du Nucléaire,Les Voix du Nucléaire,,
Conf' Paysanne,Conf' Paysanne,,
~ le mouvement,~ le mouvement,3859.0,"🚨 135 260 membres pour défendre le bien commun, faire pression sur les décideurs, et gagner des batailles dans la loi et l'opinion"
Sherpa,Sherpa,12868.0,20 ans de combats pour une mondialisation plus juste ~ 20 years fighting for accountability in a globalized world
Marie Cohuet ✌🏻,Marie Cohuet ✌🏻,3491.0,Activiste climat et justice sociale | team @alternatiba75 🔥| désobéissance civile et construction du futur | porte-parole @alternatiba_ et @ANVCOP21
༓☾Nǟɖʏǟ🐢☽༓,༓☾Nǟɖʏǟ🐢☽༓,862.0,"On ne voit bien qu'avec le cœur, l'essentiel est invisible pour les yeux ☺️A vaincre sans péril on triomphe sans gloire 😁 & Hakuna Matata"
Ministère des Hydrocarbures RDC,Ministère des Hydrocarbures RDC,1793.0,Compte officiel du ministère des hydrocarbures de la République Démocratique du Congo 🇨🇩
Mister Henry,Mister Henry,,
Science Infuse,Science Infuse,,
Flag_of_liberty🇫🇷 Z,Flag_of_liberty🇫🇷 Z,,
Mediavenir,Mediavenir,,
Anfré Antoine,Anfré Antoine,2139.0,Ambassadeur de France au Rwanda 🇨🇵🇷🇼
François Dos Santos,François Dos Santos,,
Noukié Cédrik🇨🇲✌🏾,Noukié Cédrik🇨🇲✌🏾,172.0,"master's degree in banking and finance, volunteer ambassador for Plan International West and Central Africa. volunteer at the humanitarian association  Ajevoh."
QG le média libre,QG le média libre,32399.0,"Plus tôt nous serons nombreux, plus vite nous retrouverons une voix. Telegram: t.me/qglemedialibre"
Frédéric Sergent,Frédéric Sergent,2452.0,"Ce n'est pas la victoire qui rend l'homme beau, c'est le combat (M. Ferron).
#Gauche #ProgrèsSocial #JusticeSociale"
Nicolas Haeringer,Nicolas Haeringer,5299.0,"Associate Director Movement Partnerships @350 - vieux routier, 'honorable correspondant'. Un peu d'ornitho, de Vercors et de justice climatique et @attac_fr"
Nassira El Moaddem,Nassira El Moaddem,86355.0,"Journaliste, autrice
📺Présentatrice @arretsurimages
🎙️""Parcours de combattants"" @franceinter
✍️🏽""Les Filles de Romorantin"" @Ed_Iconoclaste
✍️En cours #Fayard"
AUCHAN,AUCHAN,,
ChampagneRadis,ChampagneRadis,38.0,On vit dans une société
Ami des lobbies,Ami des lobbies,4056.0,"Lobbies, pognon et traditions.
Énergies fossiles, agrochimie, élevage intensif... Nous défendons toutes ces industries vertueuses."
Laure Ducos,Laure Ducos,3049.0,"Porte-parole agriculture et alimentation @greenpeacefr 
#élevage #viande #végé #lobbies
Tweets are mine."
La FNSEA,La FNSEA,,
bp,bp,,
Shell,Shell,,
Christiane Lambert,Christiane Lambert,,
François Momboisse,François Momboisse,24323.0,"Tweets perso sur commerce et internet, politique et énergie. Pro-vaccins, pro-nucléaire, pro-OGM, etc. Président fevad.com fédération du #ecommerce"
Charles de Lacombe,Charles de Lacombe,3319.0,"Justice sociale & environnementale | ingénieur, bosse en asso | mercredi à 8h10 sur @laradionova | bouge avec @alternatiba69 & @amisdelaterre

📷 @BasileMB"
Sarah Fayolle,Sarah Fayolle,1968.0,"Chez @greenpeace sur #transports #climat #pollution de l'air.
Tweeting Out Loud sur tout ça et +.
Et, oui, mes tweets ne sont que mes tweets !
©AFP/J.P. Ksiazek"
👀,👀,128.0,
Rwanda Broadcasting Agency (RBA),Rwanda Broadcasting Agency (RBA),356721.0,Official Account of Rwanda Broadcasting Agency (RBA). Home of @RwandaTV ||@Radiorwanda_RBA || @MAGICFM907 || @KC2_RW || @MagicSportsTV_ & 5 Community Radios
Clément Pairot ✌️🌍✊,Clément Pairot ✌️🌍✊,1606.0,"🗳️Formateur mob @PrimairePop,
🌍Animateur @FresqueduClimat
✍️Auteur 📚@Democrazies_, Les illusion perdues de l'Amérique démocrate, N’allez plus seulement voter"
Nicolas,Nicolas,,
Matthieu Pechberty,Matthieu Pechberty,4191.0,"Grand Reporter à @BFMBusiness. Ex-JDD, La Tribune, Fig Eco, Nouvel Eco et Bateaux. Livres: ""L'Etat accro au tabac"" et ""Natixis, enquête sur une faillite d'Etat"""
BFM Business,BFM Business,,
francoise degois,francoise degois,,
jean-marie fardeau,jean-marie fardeau,6957.0,Délégué national @VoxPublic_ #droitshumains #societecivile /Lutte contre #discriminations #injustices-sociales #corruption #France.
Rodolphe Saade,Rodolphe Saade,8162.0,"Chairman and CEO of @cmacgm, a world leader in shipping and logistics"
Carine Thibaut,Carine Thibaut,668.0,"Porte-parole et conseillère politique @Greenpeace Belgium. Campaigner, engagée. #ClimateEmergency #JusticeFiscale
Tweets are my own"
Guillaume QUINTIN 🏳️‍🌈🔻,Guillaume QUINTIN 🏳️‍🌈🔻,19596.0,🔻🏳️‍🌈 Humaniste Universaliste Fils de Lutte @EspaceDesLuttes Conseiller Municipal #EgalitéLibertéFraternité Sec Nal @lePG #SiamoTuttiAntifascisti 🐢
École polytechnique,École polytechnique,,
奈良シカマル ☮️,奈良シカマル ☮️,,
AXA,AXA,,
Bonaventure Bondo,Bonaventure Bondo,243.0,Climate activist🇨🇩|Coordinator of the Youth Movement for protection of the environment| Organizer of the Virunga  Fossil Free  Campaign at 350.org
Lindgaard,Lindgaard,13675.0,"Journaliste à Mediapart, enquête sur les injustices environnementales, l’écologie urbaine, les pollutions. Habitante d'Aubervilliers. ILove93"
Val Waeselynck,Val Waeselynck,636.0,
Info-Birmanie,Info-Birmanie,,
Élysée,Élysée,,
L'affaire du siècle,L'affaire du siècle,20917.0,📣 La justice a tranché : l’Etat n’a plus le choix et doit agir concrètement et rapidement pour le climat ! 🌍 #PasDeClimatPasDeMandat #LAffaireDuSiecle
Arnaud,Arnaud,604.0,"Tricoteur de fibres optiques, dompteur de serveurs, passionné par les sciences et les technologies.
Promotion SupApero 1989."
Cyril Grignon,Cyril Grignon,,
Le stagiaire,Le stagiaire,64.0,"Et Michel, c'est quoi ton département préféré ? La Loire ! Ah parfait, ce sera 42€ le MWH ARENH"
ekWateur,ekWateur,,
ilek,ilek,,
ENGIE Particuliers,ENGIE Particuliers,,
IBERDROLA FRANCE,IBERDROLA FRANCE,,
Mint 🌱,Mint 🌱,,
Fridays For Future,Fridays For Future,,
Marie Toussaint 🌍🌏,Marie Toussaint 🌍🌏,,
ironsat🌿,ironsat🌿,260.0,
Marc-Antoine 🇨🇵,Marc-Antoine 🇨🇵,,
Vilain Syndicaliste,Vilain Syndicaliste,,
Hélène Bourges,Hélène Bourges,1318.0,"Responsable de campagne  @greenpeacefr. Passée par les océans, les forêts et maintenant les mains dans le pétrole et les avions. Je tweete en mon nom."
Romain Ioualalen,Romain Ioualalen,947.0,"Campaigning to accelerate the end of the fossil fuels era with @priceofoil 
🇫🇷 Grumpy Parisian. Il m'arrive d'éructer sur la politique française."
Basilic Podcast - Jeane,Basilic Podcast - Jeane,802.0,Podcast consacré à l'écologie et aux initiatives positives depuis 2017 ! Ici je parle d'écologie et de Hong Kong 🇭🇰(ville où j'ai vécu et où est né Basilic !)
Samuel Leré,Samuel Leré,2787.0,Ecolo. Co-auteur de Après le libre-échange quel commerce international face aux défis écologiques. Ex Équipe de campagne de @yjadot et @fondationNH
JPCAPDAIL,JPCAPDAIL,1895.0,"« Quand la bêtise gouverne, l'intelligence est un délit. » 
Henry de Montherlant.
🐢 🐢 🐢"
Marine Tondelier 🇫🇷🇪🇺🌻,Marine Tondelier 🇫🇷🇪🇺🌻,22567.0,Conseillère municipale d'opposition à #HeninBeaumont et régionale #HautsdeFrance | Candidate #NUPES sur la #Circo6211 | Co-trésorière nationale @eelv
Anne-Sophie Lahaye,Anne-Sophie Lahaye,1580.0,"Activiste climat & justice sociale 🌱✊ Team des Justices @RDJustices | Engagée avec @CliMates_intl, @ConstitEco & fondatrice de #MaintenantOuJamais ⏰"
ENSOSP,ENSOSP,21027.0,"🚒 Ecole nationale supérieure des officiers de sapeurs-#pompiers│French National #Fire Officers Academy│Escuela national superior de #bomberos 🇫🇷🇪🇺.
📸DR."
JE Saulnier,JE Saulnier,,
Léo Coutellec - Candidat Nupes 1ère circo Nièvre,Léo Coutellec - Candidat Nupes 1ère circo Nièvre,1099.0,"Compte officiel de Léo Coutellec, Candidat #NUPES aux élections législatives dans la première circonscription de la Nièvre et de Charlène Delacour, suppléante"
Jérôme Gleizes,Jérôme Gleizes,16604.0,"Conseiller Paris 20e EELV
Vice-Président @ecoloparis
Président @eivp_paris
@creditmunicipal @la_CPCU @le_SIAAP
Enseignant @univ_spn
@Fondationecolo @RevueEcoRev"
Être_libre 🕊️🇺🇦🏳️ vs. 🙉🙈,Être_libre 🕊️🇺🇦🏳️ vs. 🙉🙈,705.0,Carpe diem 🍻 Kaïros 💫 Intuition 🙄 Laïcité 🕊️ Solidarité ☔ Humaniste 🙏
Cappu Fibré,Cappu Fibré,1366.0,"Ace/Bi/NB - ♿
🦆🦆🦆"
Eric MARTIN,Eric MARTIN,,
Princertitude,Princertitude,13911.0,"""Pour qu'une technologie réussisse, la réalité doit précéder sur les relations publiques, car la nature ne peut pas être dupée.”
― Richard Feynman"
Greenpeace Versailles,Greenpeace Versailles,259.0,Groupe Local Greenpeace Versailles
EELV,EELV,,
DimancheEnPolitique,DimancheEnPolitique,6939.0,"📺 📍Tous les dimanches à 12h10 sur @france3tv @Letellier_FTV reçoit en direct un(e) invité(e) politique
✍️ Réd en chef @clairesebastie1
💬 Réagir avec #DIMPOL"
Les Amis de la Terre International,Les Amis de la Terre International,813.0,La fédération internationale des Amis de la Terre est le plus grand réseau environnemental du monde | Anglais: @FoEint Español: @FoEint_es
Extinction Rebellion Paris / Île-de-France,Extinction Rebellion Paris / Île-de-France,1283.0,Compte Paris / IDF d'Extinction Rebellion Désobéissance civile non-violente contre l’effondrement écologique ! ⏳ Rejoignez-nous ⏳
Махновщина,Махновщина,229.0,"“On dit d'un fleuve emportant tout qu'il est violent, mais on ne dit jamais rien de la violence des rives qui l'enserrent.” B. Brecht"
Football Together,Football Together,,
Le Duc,Le Duc,207.0,"""Traitez bien la terre, elle ne vous a pas été donnée par vos parents, elle vous a été prêtée pour vos enfants"""
t-lab,t-lab,,
On Est Prêt,On Est Prêt,21203.0,"Fabrique de récits pour faire émerger un monde désirable qui protège le #vivant !
🎥💬🌍

#AffaireDuSiècle #ZoneSauvage #climat"
Bike Friday,Bike Friday,118.0,"Born at 330 ppm. Flies less, bikes more, tries to lower her C footprint."
Fabrice Blin φ 🕊️🐢,Fabrice Blin φ 🕊️🐢,,
"Syrah Chat, gj. 😡/No borders/Ni mlp/ni Macron.","Syrah Chat, gj. 😡/No borders/Ni mlp/ni Macron.",169.0,
dr qooqie 🌐 - PhD léger,dr qooqie 🌐 - PhD léger,451.0,ultra libéral cuit au four
Géraldine Woessner,Géraldine Woessner,86081.0,"Journaliste au Point. Politique, économie, sciences, ex-correspondante aux US. Welcome tweets from outside of the box."
Fabrice,Fabrice,45.0,
cardojo_,cardojo_,382.0,"En gros de l'écologie et de la politique. De toute façon il y a quoi d'autres dans la vie ?
(l'Alsace aussi un peu)"
FuryOtS,FuryOtS,54.0,𒌐 🇬🇵
Alternatiba ANV Rhône,Alternatiba ANV Rhône,3470.0,"Mouvement citoyen pour le Climat et la Justice sociale 👊 🌍
📍AlternatiBar MDA Lyon 1er
✨ Nous soutenir : helloasso alternatiba Rhone
📷 : Andréa Blanchin"
Claude Atcher,Claude Atcher,,
Nicolas Nace,Nicolas Nace,1703.0,"Chargé de campagne Transition Énergétique à @greenpeacefr
Activiste climat @alternatiba_ @anvcop21
Ingénieur et docteur en physique"
Ambassade de France au Rwanda 🇫🇷🇪🇺,Ambassade de France au Rwanda 🇫🇷🇪🇺,,
Suya,Suya,2.0,Curieuse imaginative et vite passionnée
Génération Ecologie,Génération Ecologie,5258.0,Le parti de l'écologie intégrale démocratique. Compte officiel de Génération Ecologie. Soutien @delphinebatho candidate à la #primaire des écologistes
𝑴𝒊𝒄𝒉𝒆𝒍 𝑷𝒓𝒐𝒑𝒐𝒔 🇪🇺 #Ensemble,𝑴𝒊𝒄𝒉𝒆𝒍 𝑷𝒓𝒐𝒑𝒐𝒔 🇪🇺 #Ensemble,5125.0,"« Que tous les bruits du monde s’élèvent à l’extérieur, pourvu qu’en moi aucun tumulte ne se produise » disait Sénèque. En lutte contre le Léviathan médiatique"
Bobbin finaliste Secret Story 2018,Bobbin finaliste Secret Story 2018,147.0,"Hey la miss 👩 ton père est un voleur, il a pris toutes les propositions de la Convention Citoyenne pour le Climat pour en faire un texte insignifiant"
Claude Gruffat,Claude Gruffat,3202.0,"#Eurodéputé @euroecolos @GreensEFA ; #Économie, Marché Intérieur & Agri ; Bcp d’#ESS et d’alimentation #taxjustice et commerce équitable. #Ex-President @Biocoop"
Noëlla Kizubanata Kabundji 👩🏼‍🔬🩸🦠🇨🇩,Noëlla Kizubanata Kabundji 👩🏼‍🔬🩸🦠🇨🇩,623.0,"Biologiste👩🏼‍🔬,Entrepreneure,Assistante à l'Université W. Booth(Labo)et initiatrice de serviette hygiénique réutilisable,Perla'S Protect SHL 🌸Mwasi Peto."
Geron Nina,Geron Nina,952.0,"Ingénieure engagée, écoféministe #LGBTI Collaboratrice de @delphinebatho, mes tweets n'engagent que moi."
Eurodéputé·e·s EE 🌍,Eurodéputé·e·s EE 🌍,,
Alexis Quentin,Alexis Quentin,12405.0,"Syndicaliste @cfecgcenergies mais toujours docteur et ingénieur.  
Expert sur la Reine des neiges 2 et en fautes de frappe. Tweets perso."
Fati N'Zi-Hassane,Fati N'Zi-Hassane,10102.0,"Leading Gender, Health, Education, Nutrition, and Employment programme teams @NEPAD_Agency - @enseaO & @essec alumna - 🇫🇷&🇬🇧 spoken - a feminist, of course!"
Maxitator,Maxitator,0.0,
ValK 💫 #InactionDirecte,ValK 💫 #InactionDirecte,7282.0,"photos & infos contre la #kyriarchie
😷 #AutodéfenseSanitaire
vote ou ne vote pas mais organise-toi

+ 🪢 @kolavalk 🪡
+ 🐚 @karacole__ 📻
+ 🌐 @demosphere44 📆"
Simon Assoun שמעון הסון,Simon Assoun שמעון הסון,2971.0,"Coordination nationale Union juive française pour la paix (UJFP)  ||

éducation spécialisée/protection de l'enfance"
Les Echos Start,Les Echos Start,21691.0,"Les Echos START, le média qui cultive les possibles."
Akira junior,Akira junior,1694.0,Artistes illustrateur dessinateur bedeiste
Audrey Boehly,Audrey Boehly,2780.0,"Journaliste science/environnement ex @sciences_avenir
Autrice du podcast Dernières Limites #LimitesPlanétaires 🌎
Comprendre les enjeux pour passer à l'action ✊"
Behrang Shirizadeh,Behrang Shirizadeh,1455.0,"Researcher & Consultant in #EnergySystemModeling & #EnergyMarkets.
PhD in Economics from @cired8568, Engineer from @Polytechnique & @SharifSocial.
#NetZero 🤘"
Extinction Rebellion France 🐝🌺,Extinction Rebellion France 🐝🌺,39000.0,Mouvement international de désobéissance civile non-violente pour opérer un changement radical afin de minimiser le risque d'effondrement écologique 🐝🌺🌱🦍🐳
POURQUOI ?,POURQUOI ?,679.0,"Tant de questions qui restent sans réponses.
POURQUOI ? se propose de régulièrement les poser, avec vous, à ceux qui n'ont plus la curiosité de rien."
Pauline 🌿✌️,Pauline 🌿✌️,22.0,islamo-gauchiste ✨
Brice 🌻✌️,Brice 🌻✌️,2748.0,conseiller municipal @ePuteaux et co-secrétaire des Hauts-de-Seine @eelv92 #thereisnoplanetB #urbanisme #mobilité #communs #conditionAnimale #économieCirculaire
Niko 🏳️‍🌈✌️{Николай Клавович Лефэвре},Niko 🏳️‍🌈✌️{Николай Клавович Лефэвре},190.0,"🏳️‍🌈✌️, orchidoclaste, co-host🎙️ @pasdemelange, Leader du Front de Libération de la Raclette et🏃@1989nicolas_run 🎮 SW-2233-4288-2812"
KantarFR,KantarFR,32541.0,Kantar France : des #datas et des #insights pour les professionnels et les journalistes. Société du groupe @WPP.
Konoarde,Konoarde,,
Résistance à l'Agression Publicitaire,Résistance à l'Agression Publicitaire,5391.0,Compte de l'association Résistance à l'Agression Publicitaire dont l'objet est de lutter contre les effets négatifs des activités publicitaires. #Antipub
Benjamin Mary,Benjamin Mary,14.0,"Pré-boomer utilisateur de GIF. Bot à temps partiel. Bon je vous laisse, j'ai Neo et Trinity à la porte, chais pas ce qu'ils me veulent.

It/it"
Audrey Alwett,Audrey Alwett,1934.0,"Autrice des séries Magic Charly, Princesse Sara et Le Grimoire d'Elfie. Je collectionne les Princesses à queue de dragon et je fabrique des tasses sorcières."
Kogutyak Volodymyr,Kogutyak Volodymyr,,
Fabien Bouglé,Fabien Bouglé,1284.0,"Expert en politique énergétique, auteur de Nucléaires les vérités cachées, 2021 et Eoliennes la face noire de la transition écologique, 2022 Editions du  Rocher"
Xavier CHOLIN,Xavier CHOLIN,16.0,
François Thiollet,François Thiollet,1936.0,"Conseiller municipal de Valencisse, Loir et Cher.
Bureau exécutif EELV, délégué au projet, co-trésorier."
Quentin Guillemain ✌️,Quentin Guillemain ✌️,3430.0,"Porte parole et coordinateur adjoint de @GEcologie
President d @AFVLCS 
Conseiller municipal @chartresEcolog1 🌎
Candidat aux législatives #NUPES sur la #2801 ✌"
Aba,Aba,419.0,"#FBPE🇨🇵🇪🇺
#LAREM #RENAISSANCE #macron2022
#macron2027 #macron2032 #macron2037 #EmmanuelLePen 💉💉💉💉💉💉💉💉💉💉💉💉 #2%"
Bruce,Bruce,935.0,"Compte perso. Travaillant dans l’INB 127 et 128, de la génération 420. Mes tweets n’engagent que moi et ceux qui les lisent. Membre de @voixdunucleaire #TeamN03"
GeekosPES,GeekosPES,14.0,
Maxime.L,Maxime.L,,
Ju ت,Ju ت,762.0,#Humour #Politique #HipHop #Education #Littérature #FiscalitéDesParticuliers #Cinéma
『Tad』,『Tad』,26.0,Ironiquement joyeux | Typical blue hair INFP gamer boy | NUPES enjoyer | Bourgeois hater
David Glotin,David Glotin,320.0,"Team @M_Orphelin
#energie #climat"
"radioLogique☢️, je questionne pour comprendre.","radioLogique☢️, je questionne pour comprendre.",172.0,Pas toujours un avis tranché. Ici surtout pour la transition énergétique. Pro #nucléaire pas anti #ENR. Salarié de l'#énergie je parle en mon nom.
Dragonfire 🇺🇦,Dragonfire 🇺🇦,261.0,"GHG phobic. 
Ingénieur éco-anxieux 
""Les convictions sont des ennemis de la vérité plus dangereux que les mensonges."" Nietzsche"
RWANDA DEMOCRATIE,RWANDA DEMOCRATIE,6929.0,"R.D lutte contre la dictature , injustices sociales, et discriminations. Milite pour la démocratie ,respect des droits de l'homme et alternance pacifique !"
Judge,Judge,499.0,"Jeux de rôle, sciences et shitpost. Velotaf modéré."
